player,team,season,matches,runs,balls_faced,fours,sixes,wickets,runs_conceded,balls_bowled,catches,fantasy_points,wins,batting_sr,bowling_econ
A Ashok,New Zealand,2023/24,2,10,12,2,0,1,65,61,1,75,1,83.33333333333334,6.39344262295082
A Athanaze,West Indies,2023,4,125,128,15,4,0,6,7,3,255,2,97.65625,5.142857142857142
A Athanaze,West Indies,2023/24,6,163,219,21,2,0,0,0,3,309,2,74.42922374429224,0.0
A Athanaze,West Indies,2024/25,3,18,31,1,0,0,11,19,0,32,1,58.06451612903226,3.473684210526316
A Bagai,Canada,2002/03,6,56,113,5,0,0,0,0,8,164,1,49.557522123893804,0.0
A Bagai,Canada,2006/07,7,153,264,13,0,0,0,0,7,299,3,57.95454545454546,0.0
A Bagai,Canada,2008,1,5,19,1,0,0,0,0,0,9,0,26.31578947368421,0.0
A Bagai,Canada,2009,2,87,125,8,1,0,0,0,5,193,2,69.6,0.0
A Bagai,Canada,2010,2,85,129,9,0,0,0,0,0,145,1,65.89147286821705,0.0
A Bagai,Canada,2010/11,6,225,328,27,0,0,0,0,8,446,1,68.59756097560977,0.0
A Bagai,Canada,2013,2,3,17,0,0,0,0,0,1,17,0,17.647058823529413,0.0
A Balbirnie,Ireland,2010,1,17,33,1,0,0,0,0,0,21,1,51.515151515151516,0.0
A Balbirnie,Ireland,2014,3,60,139,6,0,1,31,24,0,113,2,43.16546762589928,7.75
A Balbirnie,Ireland,2014/15,7,256,290,23,4,0,0,0,0,418,4,88.27586206896552,0.0
A Balbirnie,Ireland,2015,2,17,31,2,0,0,0,0,0,25,0,54.83870967741935,0.0
A Balbirnie,Ireland,2015/16,3,41,82,3,0,0,0,0,1,55,1,50.0,0.0
A Balbirnie,Ireland,2016/17,2,62,74,8,0,0,0,0,1,114,2,83.78378378378379,0.0
A Balbirnie,Ireland,2017,5,80,129,9,1,0,0,0,1,133,0,62.01550387596899,0.0
A Balbirnie,Ireland,2017/18,9,346,460,37,2,0,0,0,4,623,7,75.21739130434783,0.0
A Balbirnie,Ireland,2019,7,328,370,29,8,0,0,0,2,618,3,88.64864864864866,0.0
A Balbirnie,Ireland,2019/20,3,97,117,10,3,0,0,0,0,167,0,82.90598290598291,0.0
A Balbirnie,Ireland,2020,3,131,148,14,0,0,0,0,3,257,1,88.51351351351352,0.0
A Balbirnie,Ireland,2020/21,2,56,73,5,0,0,0,0,0,88,1,76.71232876712328,0.0
A Balbirnie,Ireland,2021,9,340,486,34,3,0,0,0,3,596,3,69.95884773662551,0.0
A Balbirnie,Ireland,2021/22,1,71,95,7,1,0,0,0,0,117,0,74.73684210526315,0.0
A Balbirnie,Ireland,2022,3,11,28,1,0,0,0,0,0,12,0,39.285714285714285,0.0
A Balbirnie,Ireland,2022/23,3,132,170,14,3,0,0,0,0,246,0,77.64705882352942,0.0
A Balbirnie,Ireland,2023,10,245,344,26,1,0,0,0,6,438,3,71.22093023255815,0.0
A Balbirnie,Ireland,2023/24,2,82,103,4,1,0,0,0,2,141,2,79.6116504854369,0.0
A Balbirnie,Ireland,2024/25,3,66,113,6,2,0,0,0,5,150,1,58.4070796460177,0.0
A Bohara,Nepal,2019/20,2,13,14,0,0,0,51,66,0,45,1,92.85714285714286,4.636363636363637
A Codrington,Canada,2002/03,5,28,72,2,0,6,125,154,0,258,1,38.88888888888889,4.87012987012987
A Codrington,Canada,2006/07,1,5,7,1,0,0,28,33,0,20,0,71.42857142857143,5.090909090909091
A Dananjaya,Sri Lanka,2017,6,33,65,2,0,13,316,361,0,504,0,50.76923076923077,5.25207756232687
A Dananjaya,Sri Lanka,2017/18,11,121,189,12,1,5,442,591,6,583,3,64.02116402116403,4.4873096446700504
A Dananjaya,Sri Lanka,2018,5,63,89,6,0,14,241,260,0,548,2,70.78651685393258,5.561538461538461
A Dananjaya,Sri Lanka,2018/19,9,64,61,4,2,9,353,408,3,507,1,104.91803278688525,5.1911764705882355
A Dananjaya,Sri Lanka,2019,2,0,1,0,0,3,81,122,0,116,2,0.0,3.9836065573770494
A Dananjaya,Sri Lanka,2021,3,8,6,1,0,5,155,162,0,193,2,133.33333333333331,5.7407407407407405
A Dananjaya,Sri Lanka,2024,2,32,35,4,0,1,94,120,0,119,1,91.42857142857143,4.7
A Dutt,Netherlands,2021,2,9,21,0,0,1,22,48,0,60,1,42.857142857142854,2.75
A Dutt,Netherlands,2021/22,2,17,40,2,0,2,65,54,0,87,0,42.5,7.222222222222222
A Dutt,Netherlands,2022,9,16,33,2,0,7,369,418,0,354,0,48.484848484848484,5.296650717703349
A Dutt,Netherlands,2022/23,3,31,42,1,2,2,134,151,0,151,0,73.80952380952381,5.324503311258278
A Dutt,Netherlands,2023,8,23,37,2,0,5,342,415,1,321,4,62.16216216216216,4.944578313253012
A Dutt,Netherlands,2023/24,12,71,90,2,5,20,489,615,5,926,4,78.88888888888889,4.770731707317073
A Dutt,Netherlands,2024,4,16,32,0,0,5,117,207,1,237,4,50.0,3.391304347826087
A Dutt,Netherlands,2024/25,4,10,35,0,1,4,129,225,0,226,1,28.57142857142857,3.44
A Flintoff,England,2002/03,6,172,237,13,6,8,188,360,2,673,3,72.57383966244726,3.1333333333333333
A Flintoff,England,2003,9,225,289,27,4,14,220,404,1,961,5,77.85467128027682,3.2673267326732676
A Flintoff,England,2003/04,6,223,196,24,11,8,136,268,0,796,3,113.77551020408163,3.0447761194029854
A Flintoff,England,2004,8,406,356,32,19,11,171,292,1,1176,6,114.04494382022472,3.5136986301369864
A Flintoff,England,2005,6,79,116,11,0,10,218,337,1,532,2,68.10344827586206,3.881305637982196
A Flintoff,England,2005/06,6,208,262,21,6,8,226,291,3,697,2,79.38931297709924,4.65979381443299
A Flintoff,ICC World XI,2005/06,2,63,78,7,0,1,85,76,0,142,0,80.76923076923077,6.710526315789474
A Flintoff,England,2006/07,21,402,527,34,2,26,636,967,6,1736,10,76.280834914611,3.94622543950362
A Flintoff,England,2007,4,14,15,3,0,10,126,227,2,418,3,93.33333333333333,3.330396475770925
A Flintoff,England,2008,4,187,161,23,2,10,118,191,1,689,4,116.14906832298138,3.7068062827225132
A Flintoff,England,2008/09,8,117,129,10,4,10,297,371,4,623,2,90.69767441860465,4.803234501347709
A Flower,Zimbabwe,2002/03,7,332,472,30,1,0,0,0,1,514,2,70.33898305084746,0.0
A Johnson,Canada,2023,4,119,118,15,4,0,0,0,4,253,2,100.84745762711864,0.0
A Johnson,Canada,2023/24,7,180,187,19,11,0,0,0,4,388,4,96.2566844919786,0.0
A Johnson,Canada,2024,8,139,155,19,8,0,14,24,2,309,4,89.6774193548387,3.5
A Kumble,India,2002/03,5,48,128,5,0,7,151,253,1,351,3,37.5,3.58102766798419
A Kumble,India,2003/04,8,13,19,2,0,5,330,458,2,341,5,68.42105263157895,4.323144104803494
A Kumble,India,2004,5,15,31,0,0,3,208,241,0,171,2,48.38709677419355,5.178423236514523
A Kumble,India,2004/05,1,0,0,0,0,2,51,63,0,75,0,0.0,4.857142857142857
A Kumble,Asia XI,2005,1,24,49,3,0,1,37,62,0,81,0,48.97959183673469,3.5806451612903225
A Kumble,India,2006/07,7,8,34,0,0,8,278,387,1,384,2,23.52941176470588,4.310077519379845
A Maregwede,Zimbabwe,2003/04,1,0,5,0,0,0,0,0,0,-3,0,0.0,0.0
A Maregwede,Zimbabwe,2004,5,79,114,8,1,0,0,0,1,129,0,69.2982456140351,0.0
A Maregwede,Zimbabwe,2004/05,2,29,63,2,0,0,0,0,1,41,0,46.03174603174603,0.0
A Martin,West Indies,2011,6,6,17,0,0,6,198,320,2,307,3,35.294117647058826,3.7125
A Martin,West Indies,2011/12,4,4,12,0,0,3,95,127,2,155,0,33.33333333333333,4.488188976377953
A McGrath,England,2003,9,132,280,8,0,1,101,141,2,268,5,47.14285714285714,4.297872340425532
A McGrath,England,2003/04,1,0,0,0,0,0,0,0,1,8,0,0.0,0.0
