team,winrate_last10,winrate_last5,matches_played,avg_runs_last10,avg_wkts_last10
Africa XI,0.2,0.2,5.0,226.8,6.8
Asia XI,0.6,0.6,5.0,220.0,8.0
Australia,0.6,0.4,460.0,189.9,6.9
Bangladesh,0.3,0.2,313.0,238.9,5.7
Bermuda,0.2,0.2,12.0,129.9,5.5
Canada,0.6,0.8,52.0,209.3,7.5
England,0.4,0.4,424.0,248.6,5.7
Hong Kong,0.3,0.0,17.0,164.5,6.7
ICC World XI,0.0,0.0,2.0,188.0,4.0
India,0.5,0.2,505.0,245.1,7.8
Ireland,0.5,0.6,131.0,161.7,7.5
Jersey,0.25,0.25,4.0,222.0,6.5
Kenya,0.3,0.6,41.0,177.7,5.5
Namibia,0.4,0.2,56.0,207.8,6.8
Nepal,0.2,0.2,68.0,148.7,6.1
Netherlands,0.6,0.4,79.0,180.8,8.3
New Zealand,0.4,0.4,370.0,190.8,6.0
Oman,0.6,0.8,55.0,149.3,7.0
Pakistan,0.7,1.0,396.0,206.2,9.0
Papua New Guinea,0.2,0.0,56.0,173.2,6.2
Scotland,0.6,0.6,99.0,161.7,7.4
South Africa,0.3,0.2,373.0,224.0,7.7
Sri Lanka,0.6,0.4,473.0,190.3,5.9
United Arab Emirates,0.2,0.2,100.0,170.7,4.8
United States of America,0.6,0.6,59.0,215.6,7.4
West Indies,0.6,0.8,372.0,215.1,5.6
Zimbabwe,0.1,0.2,273.0,146.2,4.4
