team,matches,wins,win_rate,total_runs,total_wickets,total_sixes,total_fours
India,505,299,59.21,115352,3356,2043,11155
Sri Lanka,473,219,46.3,98569,2902,1197,9320
Australia,460,288,62.61,106252,3303,1811,9702
England,424,214,50.47,94338,2761,1618,8777
Pakistan,396,203,51.26,87913,2588,1403,7833
South Africa,373,220,58.98,85433,2639,1461,7846
West Indies,372,139,37.37,74960,2260,1909,6481
New Zealand,370,191,51.62,78788,2516,1593,7184
Bangladesh,313,123,39.3,61612,1893,877,5822
Zimbabwe,273,60,21.98,50779,1407,718,4589
Ireland,131,46,35.11,24971,815,421,2392
United Arab Emirates,100,34,34.0,18715,655,404,1674
Scotland,99,48,48.48,19379,684,331,1833
Netherlands,79,25,31.65,14395,498,233,1300
Nepal,68,33,48.53,12350,472,263,1109
United States of America,59,28,47.46,11922,418,210,1015
Namibia,56,26,46.43,10624,392,210,946
Papua New Guinea,56,11,19.64,9733,354,164,790
Oman,55,27,49.09,10292,396,186,903
Canada,52,18,34.62,9225,346,173,851
Kenya,41,13,31.71,6522,228,75,620
Hong Kong,17,5,29.41,2868,114,55,273
Bermuda,12,2,16.67,1665,67,29,170
Africa XI,5,1,20.0,1134,34,21,113
Asia XI,5,3,60.0,1100,40,22,121
Jersey,4,1,25.0,888,26,23,69
ICC World XI,2,0,0.0,376,8,5,40
