team,season,matches,wins,win_rate,total_runs,total_wickets,avg_sr,avg_econ
Africa XI,2005,2,1,50.0,269,12,37.684090909090905,0.9109090909090909
Africa XI,2007,3,0,0.0,865,22,82.08882352941177,3.8058823529411767
Asia XI,2005,2,0,0.0,180,17,36.96,2.309047619047619
Asia XI,2007,3,3,100.0,920,23,72.09542857142857,3.3794285714285714
Australia,2002/03,17,16,94.12,3677,134,49.39128491620112,2.050223463687151
Australia,2003,6,4,66.67,1187,41,44.6684126984127,2.5063492063492063
Australia,2003/04,16,12,75.0,3777,111,59.44561403508772,2.163450292397661
Australia,2004,8,6,75.0,1589,54,56.255375,2.05675
Australia,2004/05,9,6,66.67,1848,69,53.18364583333334,2.4535416666666667
Australia,2005,7,4,57.14,1496,44,47.276438356164384,2.160958904109589
Australia,2005/06,21,15,71.43,5138,154,55.65610169491526,2.5824152542372882
Australia,2006/07,33,24,72.73,7419,249,55.01073654390935,2.4058356940509915
Australia,2007/08,20,11,55.0,4259,137,52.889095238095244,2.164047619047619
Australia,2008,8,8,100.0,1793,67,54.9735632183908,2.26183908045977
Australia,2008/09,15,5,33.33,3457,91,62.30841463414634,2.746219512195122
Australia,2009,12,9,75.0,2621,87,49.819318181818176,2.550378787878788
Australia,2009/10,26,20,76.92,6251,192,61.01436363636364,2.408981818181818
Australia,2010,6,3,50.0,1464,50,69.05439393939395,2.5707575757575754
Australia,2010/11,18,11,61.11,3913,128,57.45554404145078,2.705699481865285
Australia,2011,8,6,75.0,1742,62,52.569166666666675,2.770238095238095
Australia,2011/12,19,10,52.63,4265,135,61.62298076923077,2.668798076923077
Australia,2012,8,2,25.0,1467,36,59.33914634146342,2.8647560975609756
Australia,2012/13,10,7,70.0,2078,70,50.86711711711712,1.888018018018018
Australia,2013,7,2,28.57,1453,39,63.13054794520548,2.526986301369863
Australia,2013/14,11,6,54.55,3100,64,71.63893442622951,3.0345081967213114
Australia,2014,5,2,40.0,1312,31,72.2219298245614,2.980701754385965
Australia,2014/15,20,17,85.0,4648,162,64.96022831050229,2.7199999999999998
Australia,2015,6,4,66.67,1425,50,60.18893939393939,2.783787878787879
Australia,2015/16,8,5,62.5,2114,54,58.937613636363636,3.2986363636363634
Australia,2016,12,8,66.67,2338,97,59.50107438016529,2.503801652892562
Australia,2016/17,16,8,50.0,4310,124,65.24198863636364,2.8223863636363635
Australia,2017,3,0,0.0,393,22,40.15484848484848,3.3233333333333333
Australia,2017/18,10,2,20.0,2394,66,68.47149122807018,3.0649999999999995
Australia,2018,5,0,0.0,1215,31,74.75446428571429,3.8246428571428575
Australia,2018/19,16,10,62.5,4154,109,63.621942857142855,2.9616
Australia,2019,9,6,66.67,2565,66,75.61309999999999,3.1748000000000003
Australia,2019/20,7,2,28.57,1754,41,64.79263157894736,3.412894736842105
Australia,2020,3,2,66.67,764,24,74.10151515151514,3.01
Australia,2020/21,3,2,66.67,1007,22,79.71000000000001,3.416363636363636
Australia,2021,3,2,66.67,559,25,59.363125000000004,2.02
Australia,2021/22,3,1,33.33,833,15,70.87878787878788,3.6515151515151514
Australia,2022,11,7,63.64,2196,86,57.75544715447155,2.4813008130081298
Australia,2022/23,6,5,83.33,1441,51,61.099242424242426,2.248939393939394
Australia,2023/24,21,14,66.67,5270,163,72.45181434599156,2.884092827004219
Australia,2024,5,3,60.0,1110,38,60.84267857142857,3.974107142857143
Australia,2024/25,3,1,33.33,456,12,60.79333333333334,2.994545454545454
Bangladesh,2002/03,5,0,0.0,566,26,39.25018518518518,2.786111111111111
Bangladesh,2003,6,0,0.0,928,17,50.52121212121212,2.6324242424242428
Bangladesh,2003/04,4,0,0.0,568,14,41.95711111111111,2.8417777777777777
Bangladesh,2004,6,0,0.0,772,22,48.572923076923075,2.311230769230769
Bangladesh,2004/05,5,1,20.0,903,29,54.69481481481481,2.8537037037037036
Bangladesh,2005,6,1,16.67,1112,21,48.711969696969696,2.820909090909091
Bangladesh,2005/06,6,1,16.67,972,32,45.80014492753623,2.6900000000000004
Bangladesh,2006,4,4,100.0,621,35,38.446976744186045,1.916279069767442
Bangladesh,2006/07,16,8,50.0,2538,90,45.99155555555555,2.4491666666666667
Bangladesh,2007,5,0,0.0,859,32,52.35964285714285,2.4460714285714285
Bangladesh,2007/08,11,0,0.0,1831,38,47.18140495867768,3.5232231404958676
Bangladesh,2008,10,1,10.0,1661,52,46.35590909090909,2.922727272727273
Bangladesh,2008/09,4,2,50.0,590,32,37.97590909090909,2.4411363636363634
Bangladesh,2009,8,7,87.5,1945,58,64.55413793103449,2.8704597701149424
Bangladesh,2009/10,15,4,26.67,3052,86,58.82591463414634,3.180365853658537
Bangladesh,2010,7,2,28.57,1359,40,55.893896103896104,3.0188311688311686
Bangladesh,2010/11,14,10,71.43,2469,96,48.21245161290323,2.2920645161290323
Bangladesh,2011,8,2,25.0,1715,43,50.16863636363637,3.1998863636363635
Bangladesh,2011/12,10,3,30.0,1798,64,48.41827272727273,2.549181818181818
Bangladesh,2012/13,8,4,50.0,1367,49,58.175316455696205,2.699493670886076
Bangladesh,2013,3,1,33.33,702,16,67.00545454545454,2.869393939393939
Bangladesh,2013/14,9,3,33.33,2125,55,64.1558,3.13
Bangladesh,2014,6,0,0.0,814,42,45.19140625,3.2003125
